date,year,month,NDVI,GPP,EVI,LAI,NDVI_smoothed,GPP_smoothed,EVI_smoothed,LAI_smoothed
2003-01-01,2003.0,1.0,0.1997504319852941,3.2374987671367996e-05,0.0724027068014706,0.3338642387356433,0.2267019751181716,3.237498767136799e-05,0.09268255700717774,0.4706048740406239
2003-02-01,2003.0,2.0,0.2065085248161766,3.2374987671367996e-05,0.081643359375,0.348144694218121,0.13983837097338941,3.2374987671367996e-05,0.03261887397146383,0.06218371220089297
2003-03-01,2003.0,3.0,0.2080281112132352,3.2374987671367996e-05,0.0864617233455882,0.3765076404567912,0.21769482613357868,3.237498767136799e-05,0.08904398032650594,0.3048769751675444
2003-04-01,2003.0,4.0,0.2979764062499999,3.2374987671367996e-05,0.1323458455882352,0.5077375304036734,0.386980222338933,3.237498767136802e-05,0.20666466758578278,0.9190573056333244
2003-05-01,2003.0,5.0,0.6369867876838231,3.2374987671367996e-05,0.3825906341911765,1.6207723896469362,0.548522283350838,3.237498767136802e-05,0.30791376422443856,1.5244188048571004
2003-06-01,2003.0,6.0,0.7155434696691176,3.2374987671367996e-05,0.4093563051470587,2.490095219397269,0.6818507449229675,3.237498767136802e-05,0.3851200144432766,2.076243843304799
2003-07-01,2003.0,7.0,0.6979973437499999,3.2374987671367996e-05,0.3644853124999999,2.0423153692614773,0.7331546905637254,3.237498767136802e-05,0.39151167979691903,2.2484006875658014
2003-08-01,2003.0,8.0,0.6630590670955883,3.2374987671367996e-05,0.3258563419117646,1.9398939825267496,0.6644166102065852,3.237498767136802e-05,0.31551895964636034,1.8171664477446439
2003-09-01,2003.0,9.0,0.5834468152573529,3.2374987671367996e-05,0.2310563143382355,1.198975818854094,0.5471614826243028,3.237498767136802e-05,0.23356771336659865,1.1855099714700306
2003-10-01,2003.0,10.0,0.4133480606617647,3.2374987671367996e-05,0.1585884742647059,0.5517489610942047,0.4150149599527341,3.237498767136802e-05,0.15812668286064602,0.7374987339918228
2003-11-01,2003.0,11.0,0.2450153125,3.2374987671367996e-05,0.0834995358455882,0.3752486829619446,0.29391891544117915,3.237498767136802e-05,0.09832379923844674,0.3853756966940515
2003-12-01,2003.0,12.0,0.2250651838235295,3.2374987671367996e-05,0.0721915257352941,0.3597403553548637,0.21786161480217298,3.237498767136802e-05,0.07137886882878222,0.29534868592246033
2004-01-01,2004.0,1.0,0.2086365487132354,3.2374987671367996e-05,0.0709835294117647,0.3171942999247406,0.1861522008490901,3.237498767136802e-05,0.06023085631127445,0.2873880653992553
2004-02-01,2004.0,2.0,0.2117106939338236,3.2374987671367996e-05,0.0793919071691176,0.3357547200680605,0.1929382363883037,3.237498767136802e-05,0.06467956910889222,0.2546663633440831
2004-03-01,2004.0,3.0,0.215278088235294,3.2374987671367996e-05,0.0925556709558823,0.3675386931055915,0.26771776216736476,3.237498767136802e-05,0.12286412902660895,0.48999483468658916
2004-04-01,2004.0,4.0,0.3630494852941178,3.2374987671367996e-05,0.1762629963235294,0.7415226923202771,0.39891660057772854,3.237498767136802e-05,0.21476069743522214,0.9438151409904497
2004-05-01,2004.0,5.0,0.6240365487132356,3.2374987671367996e-05,0.3785360477941175,1.8319895727670343,0.5561203177520985,3.237498767136802e-05,0.3223517780549704,1.6825482264718445
2004-06-01,2004.0,6.0,0.6906618060661764,3.2374987671367996e-05,0.4029240441176466,2.237307352508097,0.7007397277661052,3.237498767136802e-05,0.40844016741071354,2.313466392741444
2004-07-01,2004.0,7.0,0.7449150045955885,3.2374987671367996e-05,0.427698717830883,2.8262540492784924,0.7658639902836145,3.237498767136802e-05,0.43171225074404834,2.5435562910089295
2004-08-01,2004.0,8.0,0.7345774034926478,3.2374987671367996e-05,0.3787332950367648,2.1366316547233404,0.6865888694852968,3.237498767136802e-05,0.35846903820903564,2.121068388853321
2004-09-01,2004.0,9.0,0.5975660845588235,3.2374987671367996e-05,0.2802554595588237,1.463602303589543,0.5568406011467121,3.237498767136802e-05,0.26501758862920394,1.4560917976693113
2004-10-01,2004.0,10.0,0.310702711397059,3.2374987671367996e-05,0.1208631617647059,0.5082302607898952,0.394185647759107,3.237498767136802e-05,0.16378036896008605,0.7413109378432965
2004-11-01,2004.0,11.0,0.2672912775735295,3.2374987671367996e-05,0.0926489246323529,0.3628786143559872,0.2646995128676501,3.237498767136802e-05,0.09353661917892317,0.3787752493971297
2004-12-01,2004.0,12.0,0.2081429457720588,3.2374987671367996e-05,0.0745962178308823,0.3146215765190928,0.20017023525035219,3.237498767136802e-05,0.06659861103816617,0.24301354356081464
2005-01-01,2005.0,1.0,0.2122477941176472,3.2374987671367996e-05,0.0743358961397059,0.3251096168319098,0.19443053615196093,3.237498767136802e-05,0.06805471244747885,0.2954722613061675
2005-02-01,2005.0,2.0,0.1928549724264707,3.2374987671367996e-05,0.0816686121323529,0.307926769411996,0.18052229823179125,3.237498767136802e-05,0.06128205685399025,0.2271446698068809
2005-03-01,2005.0,3.0,0.2231004963235292,3.2374987671367996e-05,0.0862980101102941,0.3741312457053103,0.25780156578256064,3.237498767136802e-05,0.119410763086483,0.3728173629322046
2005-04-01,2005.0,4.0,0.3292253538602942,3.2374987671367996e-05,0.1619528860294118,0.5003544822922461,0.3901386510854318,3.237498767136802e-05,0.2092615929184158,0.8870419322686812
2005-05-01,2005.0,5.0,0.6243143152573527,3.2374987671367996e-05,0.3864549954044122,1.6500327214423602,0.5433940406162441,3.237498767136802e-05,0.3156771275385139,1.5200113044792425
